Team,hg_scored,hg_conceded,home_gd,home_points,home_wins,avg_hgs,avg_hgc,avg_hgd,avg_home_points,avg_home_wins,home_matches,seasons,ag_scored,ag_conceded,away_gd,away_points,away_wins,avg_ags,avg_agc,avg_agd,avg_away_points,avg_away_wins,away_matches,total_scored,total_conceded,total_gd,total_points,total_wins,total_matches,total_avg_scored,total_avg_conceded,total_avg_points,total_avg_wins,hfa_goals_scored,hfa_goals_scored_prop,hfa_goals_conceded,hfa_goals_conceded_prop,hfa_wins,hfa_wins_prop
Brighton,120,135,-15,131,31,1.1538461538461535,1.2980769230769231,-0.14423076923076922,1.2596153846153846,0.2980769230769231,104,6,107,150,-43,109,26,1.019047619047619,1.4285714285714286,-0.4095238095238095,1.0380952380952382,0.24761904761904763,105,227,285,-58,240,57,209,1.0861244019138756,1.3636363636363635,1.1483253588516746,0.2727272727272727,51,0.5934065934065934,-162,0.4103982300884956,29,0.6835443037974683
Burnley,161,195,-34,194,52,1.0592105263157894,1.2828947368421053,-0.2236842105263158,1.2763157894736843,0.34210526315789475,152,8,139,260,-121,131,31,0.9144736842105264,1.7105263157894737,-0.7960526315789473,0.8618421052631579,0.20394736842105263,152,300,455,-155,325,83,304,0.986842105263158,1.4967105263157894,1.069078947368421,0.2730263157894737,65,0.5920679886685553,-236,0.4173669467787115,28,0.6794871794871795
Cardiff,41,73,-32,40,11,1.0789473684210529,1.9210526315789471,-0.8421052631578947,1.0526315789473684,0.2894736842105263,38,2,25,70,-45,24,6,0.6578947368421053,1.8421052631578947,-1.1842105263157894,0.631578947368421,0.15789473684210523,38,66,143,-77,64,17,76,0.868421052631579,1.881578947368421,0.8421052631578947,0.2236842105263158,230,0.59185303514377,-22,0.417910447761194,30,0.6744186046511628
Charlton,199,198,1,214,58,1.3092105263157894,1.3026315789473684,0.00657894736842105,1.4078947368421053,0.3815789473684211,152,8,143,244,-101,147,35,0.9407894736842104,1.605263157894737,-0.6644736842105263,0.9671052631578948,0.23026315789473684,152,342,442,-100,361,93,304,1.125,1.4539473684210529,1.1875,0.3059210526315789,33,0.5911602209944752,-62,0.41842105263157897,4,0.6666666666666666
Chelsea,1105,470,635,1188,350,1.9592198581560285,0.8333333333333334,1.125886524822695,2.106382978723404,0.6205673758865248,564,30,839,622,217,923,262,1.482332155477032,1.098939929328622,0.3833922261484099,1.6307420494699647,0.4628975265017668,566,1944,1092,852,2111,612,1130,1.7203539823008849,0.9663716814159292,1.868141592920354,0.5415929203539823,155,0.590221187427241,-30,0.41935483870967744,50,0.6623376623376623
Coventry,190,171,19,226,58,1.2179487179487178,1.0961538461538465,0.1217948717948718,1.448717948717949,0.3717948717948718,156,8,145,262,-117,131,28,0.9294871794871796,1.6794871794871795,-0.75,0.8397435897435898,0.1794871794871795,156,335,433,-98,357,86,312,1.073717948717949,1.3878205128205128,1.1442307692307692,0.27564102564102566,52,0.5849673202614379,-67,0.4196642685851319,126,0.6607142857142857
Crystal Palace,255,314,-59,283,75,1.058091286307054,1.3029045643153527,-0.24481327800829877,1.174273858921162,0.3112033195020747,241,13,262,378,-116,256,65,1.096234309623431,1.5815899581589958,-0.4853556485355648,1.0711297071129706,0.2719665271966527,239,517,692,-175,539,140,480,1.0770833333333334,1.4416666666666669,1.1229166666666666,0.2916666666666667,173,0.5830931796349664,-119,0.42013422818791946,35,0.6495726495726496
Derby,157,177,-20,179,48,1.1804511278195489,1.330827067669173,-0.15037593984962405,1.3458646616541354,0.3609022556390977,133,7,114,243,-129,95,20,0.8571428571428571,1.8270676691729324,-0.9699248120300752,0.7142857142857143,0.15037593984962405,133,271,420,-149,274,68,266,1.018796992481203,1.5789473684210529,1.0300751879699248,0.2556390977443609,275,0.5830815709969789,-60,0.42021276595744683,5,0.6470588235294118
Everton,864,627,237,936,262,1.5292035398230088,1.1097345132743364,0.4194690265486726,1.656637168141593,0.46371681415929206,565,30,589,827,-238,600,144,1.0424778761061948,1.463716814159292,-0.42123893805309737,1.0619469026548674,0.25486725663716814,565,1453,1454,-1,1536,406,1130,1.2858407079646017,1.286725663716814,1.35929203539823,0.35929203539823007,56,0.5818713450292398,-22,0.42028985507246375,100,0.6470588235294118
Fulham,398,379,19,441,125,1.3445945945945943,1.2804054054054057,0.06418918918918919,1.489864864864865,0.4222972972972973,296,16,265,482,-217,230,46,0.8983050847457628,1.6338983050847458,-0.735593220338983,0.7796610169491526,0.15593220338983052,295,663,861,-198,671,171,591,1.1218274111675126,1.4568527918781726,1.135363790186125,0.2893401015228426,50,0.5806451612903226,-66,0.42142857142857143,118,0.645320197044335
Huddersfield,26,56,-30,32,8,0.6842105263157895,1.4736842105263157,-0.7894736842105263,0.8421052631578947,0.21052631578947367,38,2,24,78,-54,21,4,0.631578947368421,2.0526315789473686,-1.4210526315789471,0.5526315789473685,0.10526315789473684,38,50,134,-84,53,12,76,0.6578947368421053,1.763157894736842,0.6973684210526315,0.15789473684210523,43,0.5793357933579336,-135,0.42160278745644597,70,0.6446280991735537
Hull,107,145,-38,111,29,1.1263157894736842,1.5263157894736843,-0.4,1.168421052631579,0.30526315789473685,95,5,74,178,-104,60,12,0.7789473684210526,1.873684210526316,-1.0947368421052632,0.631578947368421,0.1263157894736842,95,181,323,-142,171,41,190,0.9526315789473684,1.7,0.9,0.21578947368421053,80,0.5784313725490197,-103,0.4239290989660266,43,0.6405228758169934
Ipswich,96,105,-9,101,27,1.2,1.3125,-0.1125,1.2625,0.3375,80,4,73,152,-79,71,18,0.9125,1.9,-0.9875,0.8875,0.225,80,169,257,-88,172,45,160,1.05625,1.60625,1.075,0.28125,6,0.5714285714285714,-168,0.42539964476021314,73,0.6377358490566037
Leeds,379,287,92,430,121,1.4521072796934866,1.0996168582375478,0.3524904214559387,1.6475095785440612,0.46360153256704983,261,14,335,390,-55,326,87,1.2884615384615383,1.5,-0.2115384615384615,1.2538461538461538,0.3346153846153846,260,714,677,37,756,208,521,1.3704414587332054,1.2994241842610366,1.4510556621881,0.39923224568138194,283,0.5709984947315605,-12,0.4268292682926829,22,0.627906976744186
Leicester,446,401,45,468,127,1.4113924050632911,1.268987341772152,0.14240506329113925,1.481012658227848,0.4018987341772152,316,17,402,502,-100,337,87,1.2721518987341771,1.5886075949367089,-0.31645569620253167,1.0664556962025316,0.27531645569620256,316,848,903,-55,805,214,632,1.3417721518987342,1.4287974683544304,1.2737341772151898,0.33860759493670883,286,0.5707220573689417,-196,0.42686567164179107,21,0.6265060240963856
Liverpool,1138,449,689,1204,356,2.0141592920353983,0.7946902654867256,1.2194690265486725,2.1309734513274337,0.6300884955752213,565,30,855,668,187,875,245,1.5159574468085106,1.1843971631205674,0.33156028368794327,1.551418439716312,0.43439716312056736,564,1993,1117,876,2079,601,1129,1.7652790079716565,0.9893711248892826,1.841452612931798,0.5323294951284322,266,0.5684156378600823,-54,0.4274193548387097,16,0.625
Man City,965,445,520,936,282,2.0488322717622083,0.9447983014861996,1.1040339702760085,1.9872611464968153,0.5987261146496815,471,25,690,592,98,681,190,1.4712153518123667,1.2622601279317698,0.208955223880597,1.4520255863539446,0.4051172707889126,469,1655,1037,618,1617,472,940,1.7606382978723405,1.103191489361702,1.7202127659574469,0.502127659574468,23,0.5680473372781065,-180,0.428343949044586,37,0.6241610738255033
Man United,1192,419,773,1291,395,2.1134751773049647,0.7429078014184397,1.3705673758865249,2.2890070921985815,0.700354609929078,564,30,958,641,317,1030,296,1.6925795053003534,1.1325088339222615,0.5600706713780919,1.8197879858657244,0.5229681978798587,566,2150,1060,1090,2321,691,1130,1.9026548672566372,0.9380530973451328,2.0539823008849556,0.6115044247787611,45,0.5671641791044776,-65,0.42857142857142855,23,0.6236559139784946
Middlesbrough,360,328,32,385,102,1.3533834586466165,1.2330827067669172,0.12030075187969924,1.4473684210526316,0.3834586466165414,266,14,234,391,-157,235,52,0.8796992481203008,1.4699248120300752,-0.5902255639097744,0.8834586466165414,0.19548872180451127,266,594,719,-125,620,154,532,1.1165413533834587,1.3515037593984962,1.1654135338345866,0.2894736842105263,44,0.5670731707317073,-147,0.42912246865959497,21,0.6235294117647059
Newcastle,849,596,253,909,259,1.6110056925996206,1.1309297912713472,0.48007590132827327,1.7248576850094877,0.49146110056926,527,28,561,832,-271,540,133,1.064516129032258,1.5787476280834916,-0.5142314990512334,1.0246679316888043,0.2523719165085389,527,1410,1428,-18,1449,392,1054,1.3377609108159392,1.3548387096774193,1.374762808349146,0.3719165085388994,227,0.5657971014492753,-152,0.43040293040293043,20,0.6219512195121951
Norwich,209,260,-51,211,53,1.1942857142857144,1.4857142857142858,-0.2914285714285714,1.2057142857142855,0.3028571428571429,175,9,144,344,-200,119,25,0.8228571428571428,1.9657142857142855,-1.1428571428571428,0.68,0.14285714285714285,175,353,604,-251,330,78,350,1.008571428571429,1.7257142857142858,0.9428571428571428,0.2228571428571429,46,0.5649717514124294,-84,0.4304635761589404,22,0.6170212765957447
Nott'm Forest,111,105,6,130,33,1.2613636363636365,1.193181818181818,0.06818181818181818,1.4772727272727273,0.375,88,5,93,155,-62,90,22,1.056818181818182,1.7613636363636365,-0.7045454545454546,1.0227272727272727,0.25,88,204,260,-56,220,55,176,1.1590909090909092,1.4772727272727273,1.25,0.3125,32,0.5615384615384615,-200,0.4312242090784044,14,0.6166666666666667
Oldham,24,33,-9,23,5,1.1428571428571428,1.5714285714285714,-0.42857142857142855,1.0952380952380951,0.23809523809523808,21,1,18,35,-17,17,4,0.8571428571428571,1.6666666666666667,-0.8095238095238095,0.8095238095238095,0.1904761904761905,21,42,68,-26,40,9,42,1,1.619047619047619,0.9523809523809524,0.21428571428571427,63,0.5547826086956522,-187,0.4333570919458304,17,0.6164383561643836
Portsmouth,184,159,25,196,54,1.3834586466165413,1.1954887218045114,0.1879699248120301,1.4736842105263157,0.40601503759398494,133,7,108,221,-113,106,25,0.8120300751879699,1.6616541353383458,-0.849624060150376,0.7969924812030075,0.1879699248120301,133,292,380,-88,302,79,266,1.0977443609022557,1.4285714285714286,1.1353383458646618,0.29699248120300753,234,0.5544186046511628,-103,0.44018583042973286,115,0.6156941649899397
QPR,153,158,-5,153,40,1.2966101694915255,1.3389830508474576,-0.0423728813559322,1.2966101694915255,0.3389830508474576,118,6,123,218,-95,92,24,1.0423728813559323,1.847457627118644,-0.8050847457627118,0.7796610169491526,0.2033898305084746,118,276,376,-100,245,64,236,1.1694915254237288,1.5932203389830508,1.0381355932203389,0.2711864406779661,30,0.5543478260869565,-43,0.44386422976501305,4,0.6
Reading,71,78,-7,81,23,1.2456140350877194,1.368421052631579,-0.12280701754385964,1.4210526315789471,0.40350877192982454,57,3,65,108,-43,38,9,1.1403508771929824,1.894736842105263,-0.7543859649122807,0.6666666666666666,0.15789473684210523,57,136,186,-50,119,32,114,1.1929824561403508,1.631578947368421,1.043859649122807,0.2807017543859649,34,0.55,-101,0.4440753045404208,9,0.6
