Team,hg_scored,hg_conceded,avg_hgs,avg_hgc,home_matches,seasons,ag_scored,ag_conceded,avg_ags,avg_agc,away_matches,total_scored,total_conceded,total_matches,avg_scored,avg_conceded,goal_difference
Southampton,607,538,1.4050925925925926,1.2453703703703705,432,23,434,718,1.0046296296296295,1.662037037037037,432,1041,1256,864,1.2048611111111112,1.4537037037037037,-215
Stoke,248,213,1.305263157894737,1.1210526315789473,190,10,150,312,0.7894736842105263,1.6421052631578947,190,398,525,380,1.0473684210526315,1.381578947368421,-127
Sunderland,336,371,1.105263157894737,1.2203947368421053,304,16,276,533,0.9078947368421053,1.7532894736842106,304,612,904,608,1.006578947368421,1.486842105263158,-292
Swansea,179,170,1.3458646616541354,1.2781954887218046,133,7,127,213,0.9548872180451128,1.6015037593984962,133,306,383,266,1.150375939849624,1.4398496240601504,-77
Swindon,25,45,1.1904761904761905,2.142857142857143,21,1,22,55,1.0476190476190477,2.619047619047619,21,47,100,42,1.119047619047619,2.380952380952381,-53
Tottenham,976,608,1.727433628318584,1.0761061946902655,565,30,749,795,1.323321554770318,1.4045936395759717,566,1725,1403,1131,1.5251989389920424,1.240495137046861,322
Watford,180,236,1.1842105263157894,1.5526315789473684,152,8,130,282,0.8552631578947368,1.855263157894737,152,310,518,304,1.019736842105263,1.7039473684210527,-208
West Brom,295,361,1.194331983805668,1.4615384615384615,247,13,215,411,0.8704453441295547,1.6639676113360324,247,510,772,494,1.0323886639676114,1.562753036437247,-262
West Ham,741,647,1.4586614173228347,1.2736220472440944,508,27,511,807,1.0059055118110236,1.5885826771653544,508,1252,1454,1016,1.2322834645669292,1.4311023622047243,-202
Wigan,169,215,1.111842105263158,1.4144736842105263,152,8,147,267,0.9671052631578947,1.756578947368421,152,316,482,304,1.0394736842105263,1.5855263157894737,-166
Wimbledon,186,175,1.3576642335766422,1.2773722627737227,137,7,142,242,1.0364963503649636,1.7664233576642336,137,328,417,274,1.197080291970803,1.5218978102189782,-89
Wolves,187,234,1.154320987654321,1.4444444444444444,162,9,153,258,0.9444444444444444,1.5925925925925926,162,340,492,324,1.0493827160493827,1.5185185185185186,-152
